,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
83,Wukchumi,NOAM,36.45,-118.96,n,24.210000000000001,NA,24.21,Binford 2001,15,NA,15
84,Tubatulabal,NOAM,36,-118.32,n,17.199999999999999,30,23.6,"Binford 2001, Kelly 2013",15,20,17.5
85,Nomlaki-Western_Wintun,NOAM,40,-122.56,n,35,71,53,"Binford 2001, Kelly 2013",10,NA,10
86,Yokuts-(N.Foothills),NOAM,37.44,-120.44,n,38.289999999999999,237,137.645,"Binford 2001, Kelly 2013",25,NA,25
87,Patwin-So.Hill_Wintun,NOAM,39.08,-122.05,n,82,62.5,72.25,"Binford 2001, Kelly 2013",20,NA,20
88,Gabrieleno,NOAM,34,-118,n,64.900000000000006,NA,64.9,Binford 2001,50,NA,50
89,Monachi-Southern,NOAM,36.6,-117.08,n,28.699999999999999,190,109.35,"Binford 2001, Kelly 2013",20,NA,20
90,Eastern_Pomo,NOAM,39.03,-122.94,n,127,414.5,270.75,"Binford 2001, Kelly 2013",25,NA,25
91,Pomo-Clear Lake-S.East,NOAM,39.12,-122.94,n,308.69999999999999,431,369.85,"Binford 2001, Kelly 2013",25,NA,25
92,Wintu-No.Eastern_Wintun,NOAM,40.9,-122.35,n,58.82,281,169.91,"Binford 2001, Kelly 2013",40,40,40
93,Chumash_(St.Barbara_Ca),NOAM,34.63,-119.6,n,118.2,871.5,494.85,"Binford 2001, Kelly 2013",70,NA,70
94,Chimariko,NOAM,40.85,-123.3,n,50,34.100000000000001,42.05,"Binford 2001, Kelly 2013",40,NA,40
95,Nisenan-So._Maidu,NOAM,39.03,-121.15,n,39.75,NA,39.75,Binford 2001,20,NA,20
96,Salinan,NOAM,35.47,-120.84,n,37.399999999999999,NA,37.4,Binford 2001,30,NA,30
97,South_Pomo-(Santa_Rosa),NOAM,38.54,-122.88,n,110.8,NA,110.8,Binford 2001,40,NA,40
98,Sinkyone,NOAM,40.1,-123.96,n,136.44,270,203.22,"Binford 2001, Kelly 2013",45,30,37.5
99,Lassik,NOAM,40.18,-123.16,n,97.200000000000003,140,118.6,"Binford 2001, Kelly 2013",35,NA,35
100,Coast_Miwok,NOAM,38.24,-122.88,n,53.57,NA,53.57,Binford 2001,50,NA,50
101,Mattole,NOAM,40.17,-124.04,n,116.40000000000001,210,163.2,"Binford 2001, Kelly 2013",50,NA,50
102,Lake_Miwok,NOAM,38.79,-122.48,n,65,180,122.5,"Binford 2001, Kelly 2013",30,NA,30
103,Yuki_(Proper),NOAM,39.7,-123.15,n,131.59999999999999,232,181.8,"Binford 2001, Kelly 2013",35,NA,35
104,Wappo,NOAM,38.59,-122.54,n,120.59999999999999,163,141.8,"Binford 2001, Kelly 2013",30,NA,30
105,North_Pomo_(Kalekau),NOAM,39.34,-123.29,n,108.40000000000001,232,170.2,"Binford 2001, Kelly 2013",30,NA,30
106,Yana_(Northern),NOAM,40.38,-122.89,n,31.300000000000001,35,33.15,"Binford 2001, Kelly 2013",30,NA,30
107,Miwok_(Sierra),NOAM,38,-122.77,n,24.539999999999999,55,39.77,"Binford 2001, Kelly 2013",10,NA,10
108,Tekelma,NOAM,42.44,-123.48,n,12.85,NA,12.85,Binford 2001,45,NA,45
109,Coast_Yuki,NOAM,39.64,-123.74,n,66.959999999999994,166,116.48,"Binford 2001, Kelly 2013",60,40,50
110,Tolowa,NOAM,41.87,-123.92,n,122,138,130,"Binford 2001, Kelly 2013",65,40,52.5
111,Shasta-(Eastern),NOAM,41.62,-122.7,n,25,74,49.5,"Binford 2001, Kelly 2013",30,30,30
112,Hupa,NOAM,40.93,-123.61,n,80,197,138.5,"Binford 2001, Kelly 2013",55,NA,55
113,Tututni-Coastal,NOAM,42.61,-124.04,n,67.069999999999993,NA,67.07,Binford 2001,60,NA,60
114,Karok,NOAM,41.58,-123.47,n,46.899999999999999,98.5,72.7,"Binford 2001, Kelly 2013",55,NA,55
115,Atsugewi,NOAM,40.75,-121.12,n,17.93,45,31.465,"Binford 2001, Kelly 2013",25,30,27.5
116,Wiyot,NOAM,40.75,-124.14,n,107.93000000000001,266.5,187.215,"Binford 2001, Kelly 2013",65,NA,65
117,Maidu_(Mt.),NOAM,40.28,-120.56,n,23.5,103,63.25,"Binford 2001, Kelly 2013",20,20,20
118,Yurok,NOAM,41.4,-123.89,n,131,180,155.5,"Binford 2001, Kelly 2013",70,50,60
119,Achomawi_(Western),NOAM,41.32,-121.19,n,17.25,17.5,17.375,"Binford 2001, Kelly 2013",30,30,30
120,Modoc,NOAM,42,-121.31,n,22.890000000000001,4.7999999999999998,13.845,"Binford 2001, Kelly 2013",25,20,22.5
121,Klamath,NOAM,42.62,-121.5,n,13.359999999999999,25,19.18,"Binford 2001, Kelly 2013",50,50,50
122,Guaicura,NOAM,25,-111.54,n,6,NA,6,Binford 2001,15,NA,15
123,Chichimec,NOAM,22,-100,n,9,NA,9,Binford 2001,15,NA,15
124,Shoshoni-Death_Valley,NOAM,36.52,-116.81,n,1.29,NA,1.29,Binford 2001,0,NA,0
125,Karankawa,NOAM,28.44,-96.91,n,21,30.5,25.75,"Binford 2001, Kelly 2013",55,30,42.5
126,Coahuilenos,NOAM,26,-102.07,n,1.6800000000000002,NA,1.68,Binford 2001,5,NA,5
127,Panamint,NOAM,36.37,-117.33,n,2.1200000000000001,2.1000000000000001,2.11,"Binford 2001, Kelly 2013",0,0,0
128,Koso_Mt.-Little_Lake,NOAM,36.12,-117.7,n,8.5700000000000003,NA,8.57,Binford 2001,0,NA,0
129,Kawaiisu,NOAM,35.37,-118,n,11.9,11.9,11.9,"Binford 2001, Kelly 2013",0,20,10
130,Saline_Valley,NOAM,36.65,-117.79,n,2.3199999999999998,NA,2.32,Binford 2001,0,NA,0
131,Antarianunts-So.Paiute,NOAM,37.86,-110.72,n,3.4500000000000002,NA,3.45,Binford 2001,15,NA,15
132,East_Monoowens_Valley,NOAM,36.88,-118.18,n,38.039999999999999,19,28.52,"Binford 2001, Kelly 2013",5,NA,5
133,Kawich_Mountains,NOAM,37.92,-116.45,n,1.99,1.8999999999999999,1.945,"Binford 2001, Kelly 2013",0,NA,0
134,Kaibab,NOAM,36.9,-112.55,n,3.71,3.5,3.605,"Binford 2001, Kelly 2013",0,0,0
135,Mono_Lake-(Kuzedika),NOAM,38.11,-118.85,n,5.9000000000000004,40.899999999999999,23.4,"Binford 2001, Kelly 2013",7,NA,7
136,Deep_Springs,NOAM,37.28,-118,n,3.54,NA,3.54,Binford 2001,0,NA,0
137,Salmon_Eater_Shoshoni,NOAM,42.94,-115.3,n,6.9000000000000004,NA,6.9,Binford 2001,20,NA,20
138,Kuyuidokado-Pyramid_Lk,NOAM,40,-119.6,n,18.530000000000001,18,18.265,"Binford 2001, Kelly 2013",30,30,30
139,Ute-Timpanogas,NOAM,40.22,-111.81,n,3.4700000000000002,10.35,6.91,"Binford 2001, Kelly 2013",30,25,27.5
140,Cattail_Eater_Paiute,NOAM,40.12,-118.7,n,22,NA,22,Binford 2001,20,NA,20
141,Fish_Lake-Paiute,NOAM,37.69,-118.14,n,3.8900000000000001,NA,3.89,Binford 2001,20,NA,20
142,No.Paiute-Honey_Lake,NOAM,40.27,-120.44,n,10.6,NA,10.6,Binford 2001,10,NA,10
143,Hukundika_Shoshone,NOAM,41.55,-112.22,n,2.96,NA,2.96,Binford 2001,20,NA,20
144,Gosiute_(Deep_Creek),NOAM,39.88,-114,n,1.6699999999999999,1.5,1.585,"Binford 2001, Kelly 2013",10,10,10
145,Spring_Valley-Shoshoni,NOAM,39.19,-114.48,n,6.0899999999999999,NA,6.09,Binford 2001,0,NA,0
146,White_Knife-Shoshone,NOAM,41,-117.31,n,11.710000000000001,15,13.355,"Binford 2001, Kelly 2013",15,NA,15
147,Shoshoni-Railroad_Valley,NOAM,38.33,-115.78,n,4.2800000000000002,NA,4.28,Binford 2001,0,NA,0
148,Reese_River,NOAM,39.25,-117.32,n,16.699999999999999,10,13.35,"Binford 2001, Kelly 2013",15,NA,15
149,Mono-North_Fork,NOAM,37,-119.07,n,16.039999999999999,NA,16.04,Binford 2001,15,NA,15
150,Grouse_Creek,NOAM,41.59,-113.94,n,1.6399999999999999,NA,1.64,Binford 2001,15,NA,15
151,South_Ute_(Wimonantci),NOAM,37.67,-109,n,2.6000000000000001,NA,2.6,Binford 2001,10,NA,10
152,No._Paiute-Bear_Creek_Or,NOAM,43.94,-120.49,n,1.1000000000000001,NA,1.1,Binford 2001,5,NA,5
153,Shoshoni-Antelope_Valley,NOAM,40.19,-114.24,n,1.1299999999999999,NA,1.13,Binford 2001,10,NA,10
154,Washo,NOAM,39.08,-119.82,n,14.9,28,21.45,"Binford 2001, Kelly 2013",15,30,22.5
155,Kidutokado-Suprise_Val,NOAM,41.5,-120.06,n,13.59,1.1000000000000001,7.345,"Binford 2001, Kelly 2013",20,30,25
156,Wind_River-Shoshone,NOAM,43.19,-108.86,n,1.8700000000000001,1,1.435,"Binford 2001, Kelly 2013",15,20,17.5
157,Wadadika-Ruby_Valley,NOAM,40.36,-115.39,n,13.789999999999999,13.4,13.595,"Binford 2001, Kelly 2013",8,20,14
158,Bohogue-Shoshone-East,NOAM,43,-112,n,1.04,NA,1.04,Binford 2001,15,NA,15
159,Uintah-(Ute),NOAM,40.47,-110.22,n,7.4800000000000004,NA,7.48,"Binford 2001, Kelly 2013",25,NA,25
160,Wadadokado-Harney_Val,NOAM,43.25,-119.14,n,1.24,NA,1.24,Binford 2001,20,NA,20
161,Agaiduka_(Lemhi_River),NOAM,45.17,-113.84,n,6.2400000000000002,2.75,4.495,"Binford 2001, Kelly 2013",25,40,32.5
162,Shoshoni-Little_Smoky,NOAM,39.33,-115.84,n,1.8220000000000001,NA,1.822,Binford 2001,0,NA,0
163,Uncompahgre-(Ute),NOAM,38.14,-107.8,n,4.29,NA,4.29,"Binford 2001, Kelly 2013",15,15,15
164,Comanche,NOAM,36.83,-100.5,n,2.3300000000000001,5,3.665,"Binford 2001, Kelly 2013",0,0,0
165,Kiowa-Apache,NOAM,36.9,-99.1,n,1.3999999999999999,1.3999999999999999,1.4,"Binford 2001, Kelly 2013",0,0,0
166,Kiowa,NOAM,35.83,-98.9,n,4.1399999999999997,1.3999999999999999,2.77,Binford 2001,0,NA,0
167,Cheyenne,NOAM,38.83,-102.35,n,4.8200000000000003,3,3.91,"Binford 2001, Kelly 2013",5,0,2.5
168,Arapaho,NOAM,40.13,-102.72,n,7.5,3,5.25,"Binford 2001, Kelly 2013",0,NA,0
