,name,wcont,latitude,longitude,subpop,densityB,densityK,densityC,reference,fishingB,fishingK,fishingC
248,Mountain,NOAM,63.68,-125.37,n,0.78000000000000003,NA,0.78,Binford 2001,15,NA,15
249,Han_(Yukon_Athabaskan),NOAM,64.79,-141.2,n,1.8,1.6000000000000001,1.7,"Binford 2001, Kelly 2013",20,NA,20
250,Hare,NOAM,67.47,-125,n,0.33000000000000002,0.30000000000000004,0.315,"Binford 2001, Kelly 2013",25,NA,25
251,Attawapiskat_Cree,NOAM,53.62,-83.88,n,1.4299999999999999,1.3999999999999999,1.415,"Binford 2001, Kelly 2013",55,NA,55
252,Koyukon,NOAM,66.52,-153.78,n,1.0900000000000001,NA,1.09,Binford 2001,35,NA,35
253,Chippewyan_(Athabaskan),NOAM,59.47,-106.19,n,0.46000000000000002,0.40000000000000002,0.43,"Binford 2001, Kelly 2013",25,40,32.5
254,Kutchin_Peel_River,NOAM,65.94,-135.23,n,1.7000000000000002,1.1000000000000001,1.4,"Binford 2001, Kelly 2013",33,NA,33
255,Ingalik,NOAM,61.82,-157.75,n,2.71,3.25,2.98,"Binford 2001, Kelly 2013",55,50,52.5
256,Satudene-Bear Lake,NOAM,65.75,-122.89,n,0.55000000000000004,NA,0.55,Binford 2001,20,NA,20
257,Nabesna,NOAM,63.44,-143.12,n,0.77000000000000002,0.60000000000000009,0.685,"Binford 2001, Kelly 2013",57,NA,57
258,Rupert_House-Cree,NOAM,51.08,-77.81,n,0.90000000000000002,NA,0.9,Binford 2001,41,NA,41
259,Dogrib,NOAM,63.85,-115.61,n,0.88,0.60000000000000009,0.74,"Binford 2001, Kelly 2013",31,NA,31
260,Tanaina,NOAM,61.74,-150.45,n,4.8600000000000003,5,4.93,"Binford 2001, Kelly 2013",46,50,48
261,Tutchone,NOAM,61.24,-138.21,n,0.92000000000000004,0.60000000000000009,0.76,"Binford 2001, Kelly 2013",36,45,40.5
262,Holikachuk,NOAM,63.33,-157.54,n,1.52,NA,1.52,Binford 2001,62,NA,62
263,Naskapi,NOAM,56.19,-68.92,n,0.41999999999999998,0.25,0.335,"Binford 2001, Kelly 2013",26,20,23
264,Norton_Sound-Eskimo,NOAM,63.98,-160.75,n,7.6100000000000003,NA,7.61,Binford 2001,84,NA,84
265,Kobuk_Eskimo,NOAM,66.95,-156.94,n,2.6699999999999999,NA,2.67,Binford 2001,36,NA,36
266,Kotzebue_Sound-Eskimo,NOAM,66.77,-161.53,n,6.6299999999999999,11.6,9.115,"Binford 2001, Kelly 2013",78,NA,78
267,Labrador_Eskimo,NOAM,57.81,-62.34,n,2.7799999999999998,2.8500000000000001,2.815,"Binford 2001, Kelly 2013",70.99,NA,70.99
268,Great_Whale-Eskimo,NOAM,55.32,-77.69,n,1.8600000000000001,NA,1.86,Binford 2001,81.9,NA,81.9
269,Caribou_Eskimo,NOAM,64.33,-96.2,n,0.30000000000000004,0.20000000000000001,0.25,"Binford 2001, Kelly 2013",44.9,40,42.45
270,Noatak-Eskimo,NOAM,68.09,-160,n,2.2000000000000002,NA,2.2,Binford 2001,24.9,NA,24.9
271,Nunamiut_Eskimo,NOAM,68.18,-151.71,n,0.95999999999999996,2,1.48,"Binford 2001, Kelly 2013",10.9,10,10.45
272,Mackenzie-Eskimo,NOAM,69.68,-131.7,n,3.8399999999999999,3.5,3.67,"Binford 2001, Kelly 2013",61.9,NA,61.9
273,Sivokamiut_(St_Lawrnce),NOAM,63.49,-170.31,n,15,23,19,"Binford 2001, Kelly 2013",89.9,80,84.95
274,Point_Hope-Eskimo,NOAM,68.37,-166.63,n,4.2000000000000002,NA,4.2,Binford 2001,64.9,NA,64.9
275,Copper_Eskimo,NOAM,68.58,-106.61,n,0.42999999999999999,1.2,0.815,"Binford 2001, Kelly 2013",74.99,60,67.495
276,Utkuhikhalingmiut,NOAM,66.99,-95.18,n,0.38,NA,0.38,Binford 2001,69.9,NA,69.9
277,Aivilingmiut,NOAM,65.16,-88.12,n,0.32000000000000001,NA,0.32,Binford 2001,64.9,NA,64.9
278,Iglulik,NOAM,69.38,-81.6,n,0.54000000000000004,0.5,0.52,"Binford 2001, Kelly 2013",84.99,NA,84.99
279,W._Greenland_Eskimo,NOAM,69.31,-50.21,n,4.7300000000000004,NA,4.73,Binford 2001,84.99,NA,84.99
280,Baffin_Island_Eskimo,NOAM,64.95,-67.1,n,1.26,NA,1.26,"Binford 2001, Kelly 2013",94.99,95,94.995
281,Netsilik_Eskimo,NOAM,71.46,-94.93,n,0.25,0.5,0.375,"Binford 2001, Kelly 2013",74.99,NA,74.99
282,Angmaksalik,NOAM,65.63,-37.63,n,7.7199999999999998,8,7.86,"Binford 2001, Kelly 2013",89.99,80,84.995
283,Tareumiut,NOAM,71.28,-156.72,n,3.8599999999999999,4,3.93,"Binford 2001, Kelly 2013",74.99,NA,74.99
284,Polar_Eskimo,NOAM,77.74,-69.35,n,0.40999999999999998,0.5,0.455,"Binford 2001, Kelly 2013",69.99,50,59.995
285,Borjeno,NOAM,29.43,-114.4,n,NA,37.299999999999997,37.3,Kelly 2013,NA,25,25
286,Bering_Strait_Eskimo,NOAM,65.63,-168.09,n,NA,3.2000000000000002,3.2,Kelly 2013,NA,NA,NA
287,Ahtna,NOAM,61.94,-145.28,n,NA,0.80000000000000004,0.8,Kelly 2013,NA,NA,NA
288,Kolchan,NOAM,61.89,-157.84,n,NA,0.5,0.5,Kelly 2013,NA,NA,NA
289,Yellowknife,NOAM,62.53,-114.31,n,NA,0.20000000000000001,0.2,Kelly 2013,NA,NA,NA
290,Tasmanians_SW,AUS,-43.23,145.82,n,NA,9.3000000000000007,9.3,Kelly 2013,NA,NA,NA
291,Tasmanians_Big_River,AUS,-42.19,146.75,n,NA,4.2999999999999998,4.3,Kelly 2013,NA,NA,NA
292,Murinbata,AUS,-14.58,129.67,n,NA,8,8,Kelly 2013,NA,NA,NA
293,Kongkandji,AUS,-17.08,145.83,n,NA,200,200,Kelly 2013,NA,NA,NA
294,Madjandji-Wanjuru,AUS,-17.33,145.92,n,NA,49,49,Kelly 2013,NA,NA,NA
295,Keramai,AUS,-18.25,145.75,n,NA,29,29,Kelly 2013,NA,NA,NA
296,Idindji,AUS,-17.17,145.75,n,NA,38,38,Kelly 2013,NA,NA,NA
297,Tjapukai-Buluwai,AUS,-16.83,145.5,n,NA,19,19,Kelly 2013,NA,NA,NA
298,Gulngai,AUS,-17.83,145.67,n,NA,60,60,Kelly 2013,NA,NA,NA
299,Djirubal,AUS,-17.67,145.42,n,NA,26,26,Kelly 2013,NA,NA,NA
300,Ngatjan,AUS,-17.33,145.67,n,NA,149,149,Kelly 2013,NA,NA,NA
301,Djiru,AUS,-17.87,146,n,NA,125,125,Kelly 2013,NA,NA,NA
302,Sami_Kemi_region,EURASIA,67.53,27.54,n,NA,0.80000000000000004,0.8,"Itkonen 1948: 130-131, Suomen lappalaiset vuoteen 1945, ensimm?inen osa. WSOY",NA,NA,NA
